obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_2013_aime_en,latour,values,qualify,1,138529,that we are going to have to learn how to,qualify,"If our investigator is so optimistic, it is because The",0
latour_2013_aime_en,latour,values,qualify,1,185545,it means to “speak truths” and to “speak untruths.” To,qualify,what these paths have in common—and to shift away from,0
latour_2013_aime_en,latour,values,qualify,1,202090,as necessary—and then in the [pre] mode—we shall try to,qualify,the type of connections that allow its extension. The first,0
latour_2013_aime_en,latour,values,qualify,1,297202,"reproduction, we understand why it would be very unsatisfactory to",qualify,them by saying that they form a simple “material world”,0
latour_2013_aime_en,latour,values,qualify,1,544897,from within—everyone acknowl- arrangements edges this—even if we can’t yet,qualify,"their exteriority, that is, the type of objectivity that would",0
latour_2013_aime_en,latour,values,qualify,1,552667,"transformation, installation—is at once very common and very difficult to",qualify,within the narrow framework of psychology. The continuity of a,0
latour_2013_aime_en,latour,values,qualify,1,571568,"the others? This is not impossible if, in order to",qualify,"them, we approach the crossing they form with the beings",0
latour_2013_aime_en,latour,values,qualify,1,634037,its wake without reproducing its ever-so-particular movement? How can we,qualify,"its mode of being more precisely? In other words, what",0
latour_2013_aime_en,latour,values,qualify,1,683808,is morphing him. Dispatching a work of How can we,qualify,"with more precision such art implies a shifting displacements, such",0
latour_2013_aime_en,latour,values,value system,1,778078,Let us recall that she is trying to reconstruct their,value system,just as her colleagues have always as- pired to do,0
latour_2013_aime_en,latour,values,qualify,1,966282,sentences in which they unfailingly use the adjective “legal” to,qualify,"everything they say, without troubling to define it further, without",0
latour_2013_aime_en,latour,values,qualify,1,976886,term with the exponents that would have allowed them to,qualify,"it, the Moderns told themselves that, without law, “there would",0
latour_2013_aime_en,latour,values,qualify,1,1017046,“write straight with crooked lines”? And how are we to,qualify,the formidable drift of lines of force and lineages [rep]?,0
latour_2013_aime_en,latour,values,qualify,1,1169898,store in China rich or bankrupt? How are we to,qualify,the know-how of an entrepreneur capable of giving unanticipated twists,0
latour_2013_aime_en,latour,trajectory_pass,continuities,1,5525,grasp of the [net] type plus a particular relation between,continuities,"and discontinuities (41). Thanks to a third type of “pass,”",0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,5542,the [net] type plus a particular relation between continuities and,discontinuities,"(41). Thanks to a third type of “pass,” the religious",0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,9220,mode of reproduction [rep] (99) by making this mode one,trajectory,among others (100) in order to avoid the strange notion,0
latour_2013_aime_en,latour,trajectory_pass,hiatus,1,9675,form that maintains constants and the form that reduces the,hiatus,"of reference (107), we begin to obtain a nonformalist de-",0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,18819,invites us to acknowledge their proper consistency (240) an original,trajectory,(241) as well as a particular set of specifications (242).,0
latour_2013_aime_en,latour,trajectory_pass,hiatus,1,20268,"too, is a mode of existence (265) with a paradoxical",hiatus,that produces immanence (266). By following the experience of an,0
latour_2013_aime_en,latour,trajectory_pass,continuities,1,20414,we see how this mode of existence manages to trace,continuities,(268) owing to its particular felicity conditions (268). xii Habit,0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,21489,are involved (285). Lines of force and lineages [rep] emphasize,continuity,"(285), while the beings of metamorphosis [met] emphasize difference (286)",0
latour_2013_aime_en,latour,trajectory_pass,hiatus,1,22883,explore their crossing [metâ•›·â•›rel] (304). We then discover a specific,hiatus,(305) that makes it possible to resume Speech (306) but,0
latour_2013_aime_en,latour,trajectory_pass,hiatus,1,25314,up again or not (342). A first definition of the,hiatus,of the [pol] type: the curve (344) and a quite,0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,25377,the [pol] type: the curve (344) and a quite peculiar,trajectory,autonomy (345). A new definition of the hiatus: discontinuity (346),0
latour_2013_aime_en,latour,trajectory_pass,hiatus,1,25430,quite peculiar trajectory: autonomy (345). A new definition of the,hiatus,"discontinuity (346) and a particularly demanding type of veridiction (348),",0
latour_2013_aime_en,latour,trajectory_pass,discontinuity,1,25438,peculiar trajectory: autonomy (345). A new definition of the hiatus:,discontinuity,"(346) and a particularly demanding type of veridiction (348), which",0
latour_2013_aime_en,latour,trajectory_pass,continuities,1,106044,grasp of the [net] type plus a particular relation between,continuities,"The inquiry defines a first mode of and discontinuities. existence,",0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,106107,between continuities The inquiry defines a first mode of and,discontinuities,"existence, the network [net], through a particular “pass,” or passage.",0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,116195,"and, finally, that it establishes such a powerful constraint of",continuity,that a minor interruption can be enough to cause a,0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,119222,but it would be a big mistake to confuse the,continuity,of this circulation with what makes circulation possible in the,0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,122221,"to understand through what series of small “pass,” or passage.",discontinuities,it is appropriate to pass in order to obtain a,0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,122292,is appropriate to pass in order to obtain a certain,continuity,"of action. This principle of free association — or, to",0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,123069,"33 • §1-ch1 to her, at least at first. The",continuity,"of the course of action—labora- tory life, for example—would not",0
latour_2013_aime_en,latour,trajectory_pass,course of action,1,123087,"to her, at least at first. The continuity of the",course of action,"tory life, for example—would not be ensured without small interrup-",0
latour_2013_aime_en,latour,trajectory_pass,leap,1,123529,"way of another through the intermediary of a step, a",leap,a threshold in the usual course of events. It would,0
latour_2013_aime_en,latour,trajectory_pass,discontinuity,1,134162,of networks: they too define a pass by introducing a,discontinuity,37 • §1-ch1 Law offers a point of To be,0
